Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas,Precio
3520,47790,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '12 Oct, 2010'}",2010-10-12 00:00:00,4922,1.0,21,1999
3521,47830,Action,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '12 Oct, 2010'}",2010-10-12 00:00:00,4922,1.0,0,1999
3522,91100,"Indie, Racing","Single-player, Multi-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '21 Nov, 2011'}",2011-11-21 00:00:00,4517,1.0,0,999
3523,45410,Racing,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '28 Oct, 2011'}",2011-10-28 00:00:00,4541,1.0,0,999
3524,204340,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Partial Controller Support, Includes level editor, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '31 Jan, 2012'}",2012-01-31 00:00:00,4446,1.0,19,999
3525,102500,"Action, RPG","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing","{'coming_soon': False, 'date': ''}",-1,2457,0.0,20,0
3526,58230,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Commentary available, Family Sharing","{'coming_soon': False, 'date': '19 Apr, 2012'}",2012-04-19 00:00:00,4367,0.0,0,999
3527,92600,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '16 Sep, 2011'}",2011-09-16 00:00:00,4583,0.0,0,999
3528,98400,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '12 Jul, 2012'}",2012-07-12 00:00:00,4283,0.0,1,1499
3529,212030,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '24 Jul, 2012'}",2012-07-24 00:00:00,4271,1.0,2,999
