ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer
202310,Racing,"Single-player, Steam Achievements, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '29 Mar, 2012'}",0.0
102600,"Action, Indie, Strategy","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '11 Oct, 2011'}",0.0
200630,,,,
206690,"Casual, Indie, Strategy","Single-player, Family Sharing","{'coming_soon': False, 'date': '1 Mar, 2012'}",0.0
204140,,,,
108710,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '16 Feb, 2012'}",0.0
204860,"Action, Strategy","Single-player, Multi-player, Steam Achievements, Steam Cloud, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '12 Apr, 2012'}",1.0
207150,"Action, Indie, Strategy","Multi-player, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '12 Apr, 2012'}",1.0
46290,Strategy,"Single-player, Multi-player, Steam Cloud, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '9 Jul, 2010'}",1.0
6870,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '15 Mar, 2007'}",0.0
6880,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '15 Mar, 2007'}",0.0
209100,Action,"Single-player, Multi-player, Co-op, Full controller support","{'coming_soon': False, 'date': '18 May, 2012'}",1.0
98300,"Action, Casual, Simulation, Strategy","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '27 Apr, 2012'}",0.0
205350,Action,"Single-player, Multi-player","{'coming_soon': False, 'date': ''}",1.0
211780,Action,"Single-player, Family Sharing","{'coming_soon': False, 'date': '28 May, 2012'}",0.0
7770,Strategy,"Single-player, Multi-player, Family Sharing","{'coming_soon': False, 'date': '4 Sep, 2008'}",1.0
11420,,,,
11480,Strategy,"Single-player, Multi-player, Co-op, Family Sharing","{'coming_soon': False, 'date': '3 Jul, 2014'}",1.0
25800,Strategy,"Single-player, Multi-player, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '4 Feb, 2009'}",1.0
113200,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '28 Sep, 2011'}",0.0
214150,"Indie, Strategy","Single-player, Family Sharing","{'coming_soon': False, 'date': '14 Aug, 2012'}",0.0
80,Action,"Single-player, Multi-player, Valve Anti-Cheat enabled, Family Sharing","{'coming_soon': False, 'date': '1 Mar, 2004'}",1.0
100,Action,"Single-player, Multi-player, Valve Anti-Cheat enabled, Family Sharing","{'coming_soon': False, 'date': '1 Mar, 2004'}",1.0
240,Action,"Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Family Sharing","{'coming_soon': False, 'date': '1 Nov, 2004'}",1.0
215670,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '31 Aug, 2012'}",0.0
72000,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Commentary available, Family Sharing","{'coming_soon': False, 'date': '7 Sep, 2012'}",0.0
200510,Strategy,"Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '8 Oct, 2012'}",1.0
218510,"Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '27 Sep, 2012'}",1.0
7830,Strategy,"Single-player, Multi-player, Steam Cloud, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '6 May, 2009'}",1.0
217790,Simulation,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Partial Controller Support, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '21 Sep, 2012'}",1.0
65740,"Action, Strategy","Single-player, Steam Achievements, Captions available, Partial Controller Support, Stats, Family Sharing","{'coming_soon': False, 'date': '28 Sep, 2012'}",0.0
