Unnamed: 0,ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Fecha,Dias_Pasados,Multiplayer,Cantidad de descargas
739,414700,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '24 Apr, 2017'}",2017-04-24 00:00:00,2536,0.0,164
740,418460,"Action, Massively Multiplayer, Simulation, Strategy","Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Stats, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '30 May, 2017'}",2017-05-30 00:00:00,2500,1.0,288
741,429720,"Action, Adventure, Indie","Single-player, Steam Achievements, Family Sharing","{'coming_soon': False, 'date': '3 Feb, 2016'}",2016-02-03 00:00:00,2982,0.0,5
742,438100,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free to Play, Early Access","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, Tracked Controller Support, VR Supported","{'coming_soon': False, 'date': '1 Feb, 2017'}",2017-02-01 00:00:00,2618,1.0,30485
743,443110,"Action, Adventure, Casual, Indie, Massively Multiplayer, Racing, Simulation, Strategy, Free to Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards, In-App Purchases, Steam Turn Notifications","{'coming_soon': False, 'date': '17 Nov, 2017'}",2017-11-17 00:00:00,2329,1.0,90
744,446020,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '28 Mar, 2018'}",2018-03-28 00:00:00,2198,0.0,23
745,455120,"Action, Adventure, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '14 Oct, 2016'}",2016-10-14 00:00:00,2728,1.0,2
746,50130,Action,"Single-player, Steam Achievements, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '22 Mar, 2011'}",2011-03-22 00:00:00,4761,0.0,78
747,1030830,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Family Sharing","{'coming_soon': False, 'date': '19 May, 2020'}",2020-05-19 00:00:00,1415,0.0,185
748,516750,"Indie, Racing, Simulation, Early Access","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '24 Oct, 2016'}",2016-10-24 00:00:00,2718,0.0,545
749,360430,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '19 May, 2020'}",2020-05-19 00:00:00,1415,0.0,328
750,418370,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing","{'coming_soon': False, 'date': '23 Jan, 2017'}",2017-01-23 00:00:00,2627,0.0,762
751,544810,"Casual, Indie, Strategy, Free to Play","Single-player, Multi-player, PvP, Online PvP, In-App Purchases, Remote Play on Tablet","{'coming_soon': False, 'date': '15 Apr, 2020'}",2020-04-15 00:00:00,1449,1.0,1231
752,698780,"Casual, Free to Play, Indie","Single-player, Remote Play on Phone, Remote Play on Tablet","{'coming_soon': False, 'date': '6 Oct, 2017'}",2017-10-06 00:00:00,2371,0.0,347
753,746510,"Casual, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': '17 Jun, 2019'}",2019-06-17 00:00:00,1752,0.0,1
754,765180,"Action, Adventure, Indie, Early Access","Single-player, Family Sharing","{'coming_soon': False, 'date': '1 Jan, 2018'}",2018-01-01 00:00:00,2284,0.0,0
755,620590,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '22/mai./2018'}",-1,2457,1.0,11
756,204450,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'coming_soon': False, 'date': '22 May, 2013'}",2013-05-22 00:00:00,3969,0.0,40
757,913740,"Indie, RPG","Single-player, Family Sharing","{'coming_soon': False, 'date': '19 Oct, 2023'}",2023-10-19 00:00:00,167,0.0,55
758,962400,"Adventure, Indie","Single-player, Family Sharing","{'coming_soon': False, 'date': '20 Nov, 2018'}",2018-11-20 00:00:00,1961,0.0,36
759,999730,"Action, Adventure, Indie","Multi-player, PvP, Online PvP, Family Sharing","{'coming_soon': False, 'date': '2 Aug, 2019'}",2019-08-02 00:00:00,1706,1.0,0
760,761890,"Massively Multiplayer, RPG, Free to Play","Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Partial Controller Support","{'coming_soon': False, 'date': '16 May, 2018'}",2018-05-16 00:00:00,2149,1.0,6548
761,1164850,"Casual, Indie, Simulation","Single-player, Family Sharing","{'coming_soon': False, 'date': '23 Oct, 2019'}",2019-10-23 00:00:00,1624,0.0,15
762,1289310,"Adventure, Free to Play, Indie","Single-player, Steam Achievements, Partial Controller Support","{'coming_soon': False, 'date': '11 May, 2020'}",2020-05-11 00:00:00,1423,0.0,91
763,1291790,"Action, Indie, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '19 Oct, 2023'}",2023-10-19 00:00:00,167,1.0,4
764,1304930,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Family Sharing","{'coming_soon': False, 'date': '5 Mar, 2024'}",2024-03-05 00:00:00,29,1.0,2039
765,1407200,"Action, Massively Multiplayer, Simulation, Free to Play","Multi-player, MMO, PvP, Online PvP, Steam Achievements, Steam Trading Cards, In-App Purchases","{'coming_soon': False, 'date': '28 Apr, 2021'}",2021-04-28 00:00:00,1071,1.0,1909
766,1238810,Action,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, HDR available","{'coming_soon': False, 'date': '22 Oct, 2020'}",2020-10-22 00:00:00,1259,1.0,14598
767,1674170,"Action, Indie, Simulation, Early Access","Single-player, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '26 Aug, 2021'}",2021-08-26 00:00:00,951,0.0,163
768,1679290,"Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Stats, Family Sharing","{'coming_soon': False, 'date': 'Apr 19, 2023'}",-1,2457,1.0,11
769,1944430,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '6 Jun, 2023'}",2023-06-06 00:00:00,302,0.0,43
770,2124780,Indie,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '24 Oct, 2022'}",2022-10-24 00:00:00,527,0.0,4
771,1840,"Animation & Modeling, Video Production",Steam Workshop,"{'coming_soon': False, 'date': '10 Jul, 2012'}",2012-07-10 00:00:00,4285,0.0,984
772,20,Action,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '1 Apr, 1999'}",1999-04-01 00:00:00,9134,1.0,47
773,474960,Action,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '29 Sep, 2016'}",2016-09-29 00:00:00,2743,0.0,33
774,588650,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '6 Aug, 2018'}",2018-08-06 00:00:00,2067,0.0,2702
775,617670,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '15 Nov, 2018'}",2018-11-15 00:00:00,1966,0.0,8
