ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas
1122720,"Action, Casual","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","{'coming_soon': False, 'date': '12 Dec, 2019'}",0.0,1
382560,"Action, Adventure, Indie, Racing","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Workshop, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '19 Sep, 2019'}",1.0,17
1227800,"Action, Free to Play, Sports, Strategy","Multi-player, PvP, Online PvP, Family Sharing","{'coming_soon': False, 'date': '21 Feb, 2020'}",1.0,0
555000,"Action, Early Access","Multi-player, PvP, Online PvP, Steam Achievements, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '10 Jul, 2019'}",1.0,2
1377150,"Adventure, Casual","Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud","{'coming_soon': False, 'date': '28 Aug, 2020'}",1.0,39
584640,"Action, Adventure, Casual, Indie, Racing","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '24 Sep, 2021'}",1.0,3
2231450,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '26 Jan, 2023'}",0.0,2058
2291760,"Action, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '31 Mar, 2023'}",0.0,239
19980,"Action, Adventure","Single-player, Family Sharing","{'coming_soon': False, 'date': '10 Dec, 2008'}",0.0,22
356330,,,,,0
650700,"Adventure, Casual, Free to Play, Indie","Single-player, Partial Controller Support, Family Sharing","{'coming_soon': False, 'date': 'Jan 9, 2018'}",0.0,55
740250,"Free to Play, Indie, Massively Multiplayer, Animation & Modeling, Design & Illustration, Education, Software Training, Utilities, Web Publishing, Early Access","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, Partial Controller Support, Includes level editor","{'coming_soon': False, 'date': '4 May, 2018'}",1.0,1
1761390,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Family Sharing","{'coming_soon': False, 'date': '26 May, 2022'}",0.0,290
33900,"Action, Simulation, Strategy","Single-player, Multi-player, Co-op, Captions available, Partial Controller Support, Includes level editor, Family Sharing","{'coming_soon': False, 'date': ''}",1.0,0
245130,,,,,0
