ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas,Fecha,Dias_Pasados
3380,Casual,"Single-player, Family Sharing","{'date': '30 Aug, 2006'}",0,37,499,0,,30/08/2006 00:00,6431
214700,"Adventure, Casual, Indie","Single-player, Commentary available, Family Sharing","{'date': '20 Aug, 2012'}",0,0,499,0,,20/08/2012 00:00,4249
212700,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '13 Dec, 2012'}",1,0,599,0,,13/12/2012 00:00,4134
111900,"Action, Strategy","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '29 Aug, 2013'}",1,0,0,0,,29/08/2013 00:00,3875
252830,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '7 Jul, 2014'}",0,0,999,0,,07/07/2014 00:00,3563
242980,Action,"Single-player, Family Sharing","{'date': '1 Oct, 2013'}",0,2,699,0,,01/10/2013 00:00,3842
262490,"Animation & Modeling, Design & Illustration, Web Publishing",Single-player,"{'date': '7 Mar, 2014'}",0,16,4999,0,,07/03/2014 00:00,3685
262900,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '10 Jun, 2014'}",0,0,299,0,,10/06/2014 00:00,3590
264340,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '24 Feb, 2014'}",0,0,499,0,,24/02/2014 00:00,3696
265670,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Stats, Includes level editor, Family Sharing","{'date': '9 Dec, 2014'}",0,0,0,0,,09/12/2014 00:00,3408
274230,"Action, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","{'date': '30 Jun, 2015'}",0,2,1299,0,,30/06/2015 00:00,3205
274290,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Family Sharing","{'date': '24 Jul, 2014'}",0,2,999,0,,24/07/2014 00:00,3546
300540,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '16 May, 2014'}",0,0,1499,0,,16/05/2014 00:00,3615
311480,"Action, RPG","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Stats, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '25 Jul, 2014'}",1,1,699,0,,25/07/2014 00:00,3545
358090,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'date': '5 Jun, 2015'}",0,0,1499,0,,05/06/2015 00:00,3230
364230,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","{'date': '8 Aug, 2016'}",0,0,499,0,,08/08/2016 00:00,2800
561770,"Sexual Content, Violent, Gore, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '28 Apr, 2017'}",0,0,399,0,,28/04/2017 00:00,2537
680830,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing","{'date': '27 Aug, 2020'}",0,0,499,0,,27/08/2020 00:00,1320
1102130,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '13 Feb, 2020'}",0,5,599,0,,13/02/2020 00:00,1516
1353270,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","{'date': '17 Nov, 2020'}",0,6,569,0,,17/11/2020 00:00,1238
1862660,"Casual, Indie","Single-player, Family Sharing","{'date': '16 May, 2022'}",0,1,499,0,,16/05/2022 00:00,693
300820,"Action, Adventure","Single-player, Multi-player, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","{'date': '6 Oct, 2014'}",1,17,1999,0,,06/10/2014 00:00,3472
370090,Sports,"Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Commentary available, Family Sharing","{'date': '15 Jul, 2015'}",1,1,499,0,,15/07/2015 00:00,3190
382140,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '6 Oct, 2015'}",0,16,999,0,,06/10/2015 00:00,3107
