ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased
346200,"Adventure, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '4 Feb, 2015'}",0.0,0,499,0
346340,"Action, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '20 May, 2015'}",0.0,0,499,0
343810,"Adventure, Indie","Single-player, Family Sharing","{'date': '26 Jan, 2015'}",0.0,0,209,0
343830,"Adventure, Indie","Single-player, Family Sharing","{'date': '26 Jan, 2015'}",0.0,0,209,0
346430,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '24 Jul, 2015'}",0.0,0,999,0
342020,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","{'date': '9 Jun, 2015'}",0.0,0,999,0
346490,"Action, Indie","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Stats, Steam Leaderboards, Family Sharing","{'date': '28 May, 2015'}",1.0,0,1199,0
346810,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '4 Mar, 2015'}",0.0,6,599,0
346830,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '11 May, 2015'}",0.0,15,1599,0
346850,"Action, Adventure, Free to Play, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud","{'date': '28 May, 2015'}",0.0,19,0,0
347040,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'date': '27 Mar, 2015'}",0.0,0,999,0
347060,"Simulation, Sports","Single-player, Steam Cloud, Family Sharing","{'date': '14 Jan, 2016'}",0.0,0,1499,0
347160,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing","{'date': '1 Oct, 2015'}",1.0,4,1299,0
347730,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '29 Oct, 2015'}",0.0,0,799,0
346370,"Action, Indie","Multi-player, Steam Achievements, Partial Controller Support, Stats, Family Sharing","{'date': '2 Dec, 2015'}",1.0,0,0,0
