ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas
244410,"Indie, Simulation, Strategy","Single-player, Multi-player, Steam Trading Cards, Family Sharing","{'date': '9 May, 2014'}",1,4,999,0,
268320,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '9 Mar, 2015'}",0,0,699,0,
269270,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '7 Feb, 2014'}",0,0,299,0,
271970,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '18 Feb, 2016'}",0,2,999,0,
257970,"Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '15 Jan, 2014'}",0,2,1999,0,
277470,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '14 Mar, 2014'}",0,0,999,0,
278530,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '28 Mar, 2014'}",0,1,1499,0,
279140,"Indie, Simulation, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, Partial Controller Support, Includes level editor, Family Sharing","{'date': '29 Jan, 2015'}",1,2,2999,0,
284390,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Family Sharing","{'date': '20 May, 2014'}",0,7,999,0,
284750,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '16 Oct, 2014'}",0,15,374,0,
284810,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '29 Jan, 2015'}",0,0,0,0,
284910,"Action, RPG, Early Access","Multi-player, Steam Cloud, Family Sharing","{'date': '11 Feb, 2015'}",1,0,1499,0,
286810,"Action, Racing","Single-player, Multi-player, Steam Trading Cards, Family Sharing","{'date': '14 Mar, 2014'}",1,1,599,0,
287840,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '17 Sep, 2015'}",0,0,999,0,
290280,"Action, Indie","Single-player, Steam Trading Cards, Family Sharing","{'date': '14 Apr, 2014'}",0,0,99,0,
291130,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '2 May, 2014'}",0,0,299,0,
291270,"Action, Casual, Indie","Single-player, Steam Trading Cards, Includes level editor, Family Sharing","{'date': '22 Apr, 2014'}",0,0,199,0,
300320,Strategy,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '18 Jun, 2014'}",0,0,799,0,
301380,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '2 Sep, 2014'}",0,0,249,0,
276890,"Action, Adventure, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '17 Apr, 2014'}",0,5,799,0,
306950,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '21 Aug, 2014'}",0,0,999,0,
310080,"Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '4 Sep, 2014'}",0,9,999,0,
312230,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Family Sharing","{'date': '26 Mar, 2015'}",0,0,499,0,
312630,"Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '6 Aug, 2014'}",0,1,799,0,
313080,"Action, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","{'date': '4 Jun, 2015'}",0,1,1999,0,
313130,Indie,"Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing","{'date': '15 Dec, 2014'}",0,0,1299,0,
316140,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","{'date': '26 Aug, 2014'}",0,0,499,0,
316720,Casual,"Single-player, Steam Achievements, Family Sharing","{'date': '12 Sep, 2014'}",0,0,0,0,
317610,"Action, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '22 Oct, 2014'}",0,0,999,0,
319230,"Adventure, Indie, Strategy","Single-player, Steam Trading Cards, Family Sharing","{'date': '7 Nov, 2014'}",0,0,499,0,
319320,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '11 Sep, 2014'}",0,2,374,0,
320540,"Action, Casual, Indie, Racing","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, VR Supported, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '8 Jul, 2015'}",1,0,1099,0,
320760,Adventure,"Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '12 Feb, 2015'}",0,1,1499,0,
320790,"Action, Indie","Multi-player, Steam Trading Cards, Family Sharing","{'date': '27 Oct, 2014'}",1,0,799,0,
323450,"Action, Adventure, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '12 Jan, 2015'}",0,0,999,0,
297120,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Family Sharing","{'date': '18 Sep, 2014'}",0,1,999,0,
324420,"Indie, Strategy","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '10 Nov, 2014'}",1,0,499,0,
324730,"Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '3 Aug, 2015'}",0,0,499,0,
325870,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '16 Dec, 2014'}",0,0,499,0,
