ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Minutos jugadas,Fecha,Dias_Pasados,Minutos jugadas Totales
284410,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '26 Apr, 2016'}",0.0,0,1999,0,,26/04/2016 00:00,2904,1287
284990,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '30 Apr, 2015'}",0.0,0,1999,0,,30/04/2015 00:00,3266,2833
301990,Casual,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '3 Jul, 2014'}",0.0,0,99,0,,03/07/2014 00:00,3567,1260
312780,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '23 Jul, 2015'}",0.0,21,2499,0,,23/07/2015 00:00,3182,534
345080,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '28 May, 2015'}",0.0,0,1199,0,,28/05/2015 00:00,3238,292
314320,"Casual, Indie, Simulation, Strategy","Single-player, Family Sharing","{'date': '8 Aug, 2014'}",0.0,1,899,0,,08/08/2014 00:00,3531,1669
315460,"Action, Indie, RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '10 Jul, 2018'}",1.0,20,1199,0,,10/07/2018 00:00,2099,2449
317100,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, Steam Leaderboards, Commentary available","{'date': '25 Feb, 2015'}",0.0,3,0,0,,25/02/2015 00:00,3330,272
241260,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '29 Sep, 2014'}",0.0,39,2999,0,,29/09/2014 00:00,3479,3140
323490,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '12 Dec, 2014'}",0.0,0,1499,0,,12/12/2014 00:00,3405,2880
324160,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '23 Nov, 2015'}",0.0,35,4499,0,,23/11/2015 00:00,3059,10584
325120,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '4 Jun, 2015'}",0.0,0,999,0,,04/06/2015 00:00,3231,3720
327070,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Stats, Family Sharing","{'date': '7 Feb, 2023'}",1.0,1,0,1,,07/02/2023 00:00,426,8681
334280,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","{'date': '5 Jul, 2016'}",0.0,0,1499,0,,05/07/2016 00:00,2834,398
339230,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '18 Aug, 2015'}",0.0,1,1999,0,,18/08/2015 00:00,3156,786
341000,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Family Sharing","{'date': '13 Sep, 2016'}",0.0,8,1499,0,,13/09/2016 00:00,2764,6222
326480,"Adventure, Casual, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '24 Nov, 2014'}",0.0,8,1499,0,,24/11/2014 00:00,3423,13282
349320,"Adventure, Indie","Single-player, Steam Trading Cards, Steam Cloud, Commentary available, Family Sharing","{'date': '30 Mar, 2015'}",0.0,0,2499,0,,30/03/2015 00:00,3297,1295
350310,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing","{'date': '28 May, 2015'}",1.0,6,5999,0,,28/05/2015 00:00,3238,2313
