ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados
823910,"Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",,0,27,999,0,-1,1398
1111380,Adventure,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",,0,6,3499,0,-1,1398
1229900,"Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",,0,3,1799,0,-1,1398
1239020,"Adventure, Casual, Indie, RPG, Simulation, Early Access","Single-player, Family Sharing",,0,17,1799,0,-1,1398
1536470,"Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,2,799,0,-1,1398
1569090,"Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,10,1499,0,-1,1398
1767170,"Adventure, Casual, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,4,1999,0,-1,1398
1621310,RPG,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",,0,11,5999,0,-1,1398
1918530,"Casual, Indie, Racing, Simulation, Sports, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,0,4,899,0,-1,1398
2171630,"Action, Adventure, Indie, RPG, Simulation, Early Access","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,12,1699,0,-1,1398
2411910,"Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing",,0,59,449,0,-1,1398
407900,"Action, Adventure, Indie","Single-player, Full controller support",,0,1,0,0,-1,1398
612620,"Adventure, Casual, Free to Play, Indie","Single-player, Steam Achievements, Steam Cloud",,0,0,0,0,-1,1398
12500,Casual,"Single-player, Multi-player, Steam Cloud, Family Sharing",,1,14,999,0,-1,1398
2810,Strategy,"Single-player, Captions available, Steam Cloud, Family Sharing",,0,9,999,0,-1,1398
205810,"RPG, Simulation, Strategy","Single-player, Steam Achievements, Stats, Family Sharing",,0,1,1499,0,-1,1398
257030,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",,0,0,699,0,-1,1398
239120,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",,0,68,1599,0,-1,1398
315330,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy, Early Access","Single-player, Partial Controller Support, Steam Cloud, Family Sharing",,0,0,1299,0,-1,1398
370020,"Action, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing",,0,5,299,0,-1,1398
299420,"Action, Free to Play, Indie, Early Access","Single-player, Multi-player, Co-op, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Includes level editor",,1,0,0,0,-1,1398
409890,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '6 Jun, 2016'}",0,6,1999,0,06/06/2016 00:00,2863
450500,"Action, Indie","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play Together, Family Sharing",,1,0,1199,0,-1,1398
541450,RPG,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,2,1999,0,-1,1398
542290,Adventure,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,3999,0,-1,1398
562470,"Adventure, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,1499,0,-1,1398
603390,"Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0,41,2999,0,-1,1398
638160,"Adventure, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",,0,2,999,0,-1,1398
657090,"Indie, RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",,1,0,1499,0,-1,1398
538680,RPG,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '2 Aug, 2017'}",0,83,3999,0,02/08/2017 00:00,2441
731040,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",,0,30,2999,0,-1,1398
749520,Adventure,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",,0,1,539,0,-1,1398
788050,"Adventure, Casual, Indie, RPG","Single-player, Steam Trading Cards, Family Sharing",,0,0,999,0,-1,1398
789660,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Includes level editor, Family Sharing",,0,11,1999,0,-1,1398
800180,"Adventure, Casual","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",,0,0,2999,0,-1,1398
887570,"Simulation, Strategy, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",,1,92,2999,0,-1,1398
975120,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,799,0,-1,1398
983150,Adventure,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",,0,0,824,0,-1,1398
