ID del juego,Repeticiones,Minutos Totales
233840,30,11619
247000,24,20369
40950,25,16253
302830,143,844539
227700,38,36296
273500,12,1746
331360,40,3349
332800,21,2518
333880,4,4638
250900,113,951250
339280,28,10803
373420,38,52909
386940,63,40409
397540,92,219346
534500,34,58624
562810,49,20401
569480,32,36859
212740,43,68137
607200,5,648
306130,110,602368
667890,19,2524
435150,119,741007
627270,32,13062
844870,90,25183
858820,52,41745
356190,116,223288
939960,30,229693
978520,6,2521
1022450,43,203086
1029780,13,21111
582010,195,1817012
1145360,99,210402
1238860,71,115402
1253920,7,23011
1259420,60,85360
1284210,34,56468
1334590,21,3776
1426210,69,55663
1604030,75,149079
1286680,19,27792
67370,64,20340
34870,69,20965
248820,37,29455
286570,74,27030
271570,20,2870
343360,43,8352
400040,23,98483
437920,35,21866
508900,30,5869
533300,38,8469
537180,27,154538
560380,35,29922
562220,42,6907
566160,27,4642
575640,30,5371
591420,29,5106
610360,22,3420
645090,26,4071
654900,5,847
658560,18,4398
670290,74,12181
723780,36,9213
757330,3,631
799070,32,6202
204880,48,35794
278360,84,17134
1226470,9,1001
812140,83,309022
1377580,20,24207
1252330,28,24314
1815780,28,2071
2096600,6,1623
282440,49,5034
40960,10,4252
12200,49,79049
32440,41,23941
205100,101,104346
242550,15,7557
287700,95,1990347
344760,30,58333
357190,8,1141
460950,30,29705
504230,33,21458
553850,104,189260
544750,23,11555
35140,95,46321
1222700,52,20188
1233570,23,11591
1285670,6,827
1313860,44,451829
1190460,41,66623
1506830,80,1113199
1811260,64,797517
2252570,4,6821
47410,29,36247
262410,104,11106
278970,24,5233
217490,41,63271
232890,50,62177
337950,26,978
420290,75,35035
16700,32,4680
40970,43,37901
454600,2,20
635260,63,174816
1375740,11,695
1088150,63,10881
602770,8,237
2140020,7,3554
596350,23,4658
593280,3,731
607260,51,116486
615530,1,3274
666220,64,4897
878750,35,4020
939850,16,5621
1775270,3,490
1281930,161,623580
312280,17,5361
436150,81,118688
788260,15,52293
895970,2,521
327690,32,3003
338810,4,760
625430,3,27
10700,2,30
409720,57,16392
58610,10,10557
48720,44,60402
108800,36,12020
4570,37,8331
9450,24,79662
56400,19,21221
251060,27,96699
238370,65,19591
8500,92,291204
577580,2,530
604540,5,12892
610370,9,6453
632470,55,45172
700600,12,18781
1043260,4,1888
41100,4,322
1276660,2,749
1158310,66,486799
719040,13,26271
1434950,6,4531
17550,9,11099
15170,11,12089
47870,45,32911
271290,60,13649
250400,57,24616
209650,33,17209
209660,32,34787
355180,81,9838
495890,25,4444
453480,56,294042
836620,41,287623
461040,45,509
286160,148,207818
477160,260,171405
632300,8,7291
654610,1,14
1131190,2,411
1139890,5,3220
1071870,16,5232
1599660,3,1642
269210,84,93750
2415010,1,230
10130,2,289
39510,18,33660
65540,13,5826
220440,54,40005
203290,50,7913
225080,36,7967
286940,95,80122
314280,8,526
324800,49,26663
329430,16,13773
329050,26,14390
384180,22,12248
456750,10,2689
513650,68,157109
631510,20,21260
215280,17,8437
774861,39,64798
797430,14,2146
834910,24,35497
638970,48,78309
921060,17,2482
957660,1,69
927380,12,17578
1096530,4,2049
505230,7,3503
1271710,14,2264
1295920,10,3289
1352330,5,1139
1504740,4,365
1639990,3,810
1715980,1,77
2072640,1,3
6020,25,19479
208580,19,14745
32370,30,913099
244850,114,531138
22330,38,82795
211820,121,433028
307880,12,106208
334230,44,126966
383150,77,43393
434570,90,21297
545110,6,1619
571740,77,50473
